Sample1,Sample2,Distance
542,3138,0.648656268
542,3237,0.879243789
542,3452,0.494931254
542,3513,0.533362507
542,3670,0.730193818
542,3749,0.840812536
542,3797,0.802381282
542,4004,0.65333131
542,4059,0.610225014
542,4086,0.99453755
542,4125,0.99453755
542,4166,0.038431254
542,4230,0.763950028
542,4236,0.153725014
542,4342,0.802381282
542,4557,0.802381282
542,4625,0.989862507
542,4714,0.99453755
542,4777,0.4565
542,4810,0.269018775
542,4932,0.956106296
542,5026,0.571793761
542,5128,0.610225014
542,5163,0.076862507
542,5328,0.802381282
542,5438,0.533362507
542,5498,0.956106296
542,5697,0.533362507
542,5728,0.840812536
542,5900,0.956106296
542,6099,0.763950028
542,6162,0.571793761
542,6286,0.571793761
542,6373,0.913
542,6380,0.65333131
542,6441,0.4565
542,6697,0.269018775
542,6764,0.076862507
542,6779,0.956106296
556,771,0.4565
556,985,0.571793761
556,1047,0.648656268
556,1389,0.802381282
556,1487,0.725518775
556,1732,0.763950028
556,1833,0.571793761
556,2092,0.917675043
556,2130,0.648656268
556,2641,0.533362507
556,2755,0.648656268
556,2833,0.917675043
556,2954,0.725518775
556,3138,0.989862507
556,3670,0.917675043
556,3797,0.989862507
556,4004,0.840812536
556,4166,0.763950028
556,4230,0.494931254
556,4236,0.571793761
556,4557,0.989862507
556,4810,0.4565
556,5042,0.687087521
556,5128,0.571793761
556,5163,0.648656268
556,5630,0.951431254
556,5770,0.763950028
556,6099,0.951431254
556,6162,0.840812536
556,6380,0.840812536
556,6697,0.4565
556,6764,0.648656268
559,685,0.917675043
579,5390,0.733631711
579,7020,0.783730333
583,3371,0.307450028
583,4342,0.989862507
583,4625,0.802381282
594,646,0.533362507
594,836,0.922350085
594,962,0.533362507
594,1240,0.687087521
594,1246,0.422743789
594,1545,0.648656268
594,1848,0.917675043
594,1857,0.725518775
594,1866,0.494931254
594,2122,0.883918832
594,2859,0.768625071
594,2883,0.879243789
594,3061,0.610225014
594,3327,0.53803755
594,3447,0.956106296
594,3504,0.99453755
594,3873,0.571793761
594,4010,0.648656268
594,5039,0.802381282
594,5307,0.913
594,6510,0.687087521
640,4827,0.692829276
642,843,0.269018775
642,2393,0.922350085
642,3450,0.768625071
642,4320,0.345881282
642,5133,0.230587521
646,962,0
646,1246,0.956106296
646,1545,0.115293761
646,1866,0.115293761
646,2014,0.763950028
646,2883,0.499606296
646,3040,0.687087521
646,3061,0.076862507
646,3327,0.917675043
646,3447,0.576468803
646,3504,0.614900057
646,3587,0.951431254
646,3873,0.951431254
646,5307,0.533362507
646,5472,0.687087521
646,6835,0.571793761
646,6889,0.917675043
651,4347,0.687087521
658,720,0.65333131
662,690,0.763950028
662,710,0.384312536
662,759,0.576468803
662,771,0.571793761
662,884,0.4565
662,985,0.687087521
662,1047,0.763950028
662,1072,0.807056325
662,1249,0.917675043
662,1335,0.076862507
662,1369,0.610225014
662,1389,0.687087521
662,1454,0.840812536
662,1487,0.840812536
662,1567,0.4565
662,1729,0.768625071
662,1732,0.879243789
662,1812,0.65333131
662,1833,0.4565
662,1928,0.115293761
662,2029,0.571793761
662,2079,0.989862507
662,2117,0.307450028
662,2130,0.533362507
662,2522,0.499606296
662,2664,0.687087521
662,2709,0.763950028
662,2755,0.763950028
662,2824,0.763950028
662,2833,0.802381282
662,2888,0.307450028
662,2973,0.879243789
662,3138,0.192156268
662,3237,0.038431254
662,3308,0.192156268
662,3513,0.461175043
662,3670,0.802381282
662,3674,0.494931254
662,3749,0
662,3797,0.038431254
662,4004,0.725518775
662,4059,0.230587521
662,4092,0.571793761
662,4150,0.687087521
662,4166,0.879243789
662,4230,0.989862507
662,4236,0.687087521
662,4319,0.99453755
662,4557,0.038431254
662,4714,0.153725014
662,4810,0.571793761
662,4932,0.883918832
662,5163,0.763950028
662,5211,0.422743789
662,5279,0.840812536
662,5328,0.730193818
662,5438,0.307450028
662,5498,0.115293761
662,5553,0.917675043
662,5621,0.4565
662,5630,0.533362507
662,5697,0.307450028
